Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified",163.296600,-58.318400,90.000000,top
"C1","100n/50V","C_0402_1005Metric",203.013081,-67.659982,180.000000,top
"C2","100n/50V","C_0402_1005Metric",203.013081,-71.723982,180.000000,top
"C3","10u 100V","CP_Elec_8x6.2",210.667600,-69.357900,90.000000,top
"C4","100n/50V","C_0402_1005Metric",192.733734,-71.596982,180.000000,top
"C5","100n/50V","C_0402_1005Metric",156.359800,-38.989000,180.000000,top
"C6","100n/50V","C_0402_1005Metric",194.232334,-67.786982,0.000000,top
"D1","B360A-13-F","D_SMA",156.387800,-42.773600,0.000000,top
"H1","MountingHole","MountingHole_2.7mm_M2.5",140.564000,-39.919428,0.000000,top
"H2","MountingHole","MountingHole_2.7mm_M2.5",140.545873,-72.847200,0.000000,top
"H3","MountingHole","MountingHole_2.7mm_M2.5",189.984365,-39.924040,180.000000,top
"J1","Kdisp","PinHeader_2x08_P2.54mm_Vertical",208.686400,-41.630600,0.000000,top
"J2","Kcpu","PinHeader_2x08_P2.54mm_Vertical",195.681600,-41.630600,0.000000,top
"J3","3.8" Oled display","PinHeader_2x08_P2.54mm_Vertical",166.818800,-43.112200,90.000000,top
"J4","5.5 Oled Display","PinHeader_1x07_P2.54mm_Vertical",186.359800,-73.482200,-90.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",194.581000,-63.356000,90.000000,top
"R1","15k","R_0201_0603Metric",195.376800,-71.602600,180.000000,top
"U1","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",194.105334,-69.691982,180.000000,top
"U2","74LVC1G08","SOT-23-5",198.931334,-69.691982,-90.000000,top
"U3","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",203.013081,-69.691982,180.000000,top
